epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.347,1.74423,2.41062,1.54229,0.47561,0.40656,0.38987,0.17104,1.51169,3.33981,1.27911,0.000555352,0.000555352,0.000555352
2,550.702,1.78736,2.00578,1.54778,0.44444,0.42172,0.39055,0.16833,1.47809,13.3671,1.23639,0.00107436,0.00107436,0.00107436
3,810.473,1.76703,1.96745,1.54021,0.46869,0.4269,0.4015,0.17083,1.53587,2.54828,1.26168,0.00155668,0.00155668,0.00155668
4,1070.69,1.72819,1.87577,1.51089,0.55552,0.50366,0.5141,0.24326,1.41196,4.0508,1.2022,0.00150197,0.00150197,0.00150197
5,1331.3,1.66844,1.76735,1.4653,0.59685,0.47973,0.51651,0.25598,1.36517,2.76776,1.1596,0.00144696,0.00144696,0.00144696
6,1599.26,1.64141,1.70144,1.45357,0.62846,0.52929,0.56028,0.27975,1.33615,2.18963,1.14348,0.00139195,0.00139195,0.00139195
7,1865.57,1.62677,1.67926,1.43725,0.59475,0.53864,0.56181,0.2817,1.3233,3.43074,1.13042,0.00133693,0.00133693,0.00133693
8,2133.11,1.59527,1.60136,1.41909,0.62961,0.5361,0.58051,0.2985,1.29703,1.75853,1.10671,0.00128192,0.00128192,0.00128192
9,2396.78,1.58659,1.57952,1.40697,0.64461,0.58308,0.6179,0.31748,1.28259,2.23352,1.0865,0.00122691,0.00122691,0.00122691
10,2660.38,1.56066,1.54328,1.40042,0.64272,0.56329,0.60863,0.31451,1.2727,2.01688,1.08237,0.0011719,0.0011719,0.0011719
11,2925.38,1.55349,1.51382,1.38889,0.65883,0.58366,0.62502,0.32584,1.2841,1.90231,1.08928,0.00111689,0.00111689,0.00111689
12,3191.76,1.53604,1.49357,1.38357,0.64273,0.57581,0.6141,0.31967,1.27584,1.96853,1.09829,0.00106188,0.00106188,0.00106188
13,3454.34,1.5268,1.46261,1.37452,0.69366,0.58475,0.65543,0.35263,1.23351,1.58771,1.06872,0.00100687,0.00100687,0.00100687
14,3719.25,1.50323,1.41993,1.36604,0.68259,0.60027,0.65029,0.34829,1.2355,1.7648,1.06122,0.000951857,0.000951857,0.000951857
15,3984.95,1.50141,1.41354,1.35708,0.69015,0.61829,0.66803,0.35831,1.21915,1.85015,1.05526,0.000896846,0.000896846,0.000896846
16,4246.86,1.4784,1.37343,1.33935,0.69069,0.61497,0.66927,0.36522,1.21509,1.49246,1.04919,0.000841835,0.000841835,0.000841835
17,4508.73,1.47107,1.35201,1.33493,0.69625,0.62046,0.67816,0.37346,1.18718,1.78308,1.0371,0.000786824,0.000786824,0.000786824
18,4783.68,1.46243,1.33961,1.32947,0.69697,0.62075,0.67826,0.37221,1.17981,1.77582,1.0216,0.000731813,0.000731813,0.000731813
19,5074.29,1.45552,1.30463,1.32193,0.7039,0.61889,0.6822,0.37773,1.18529,1.47473,1.0287,0.000676802,0.000676802,0.000676802
20,5364.1,1.4435,1.30003,1.31779,0.71369,0.63121,0.69546,0.38555,1.17948,1.45713,1.02471,0.000621791,0.000621791,0.000621791
21,5633.21,1.50313,1.28883,1.34584,0.68826,0.64135,0.69107,0.38099,1.1877,1.38788,1.02747,0.00056678,0.00056678,0.00056678
22,5890.06,1.46603,1.24736,1.3354,0.71482,0.63542,0.69374,0.38765,1.16658,1.32285,1.01796,0.000511769,0.000511769,0.000511769
23,6148.98,1.45837,1.2402,1.33225,0.71063,0.63305,0.69852,0.39478,1.1669,1.28209,1.01781,0.000456758,0.000456758,0.000456758
24,6406.78,1.43623,1.18222,1.31394,0.70579,0.64632,0.70299,0.39991,1.15438,1.1661,1.00922,0.000401747,0.000401747,0.000401747
25,6663.28,1.42805,1.17248,1.30468,0.7337,0.6336,0.70699,0.39855,1.15635,1.20721,1.01265,0.000346736,0.000346736,0.000346736
26,6916.83,1.40762,1.15219,1.29209,0.73343,0.64377,0.71164,0.40376,1.16103,1.20906,1.01451,0.000291725,0.000291725,0.000291725
27,7170.94,1.39671,1.10821,1.28016,0.73279,0.65296,0.71646,0.40824,1.15758,1.19686,1.01184,0.000236714,0.000236714,0.000236714
28,7427.67,1.38475,1.11282,1.28042,0.72007,0.65846,0.71999,0.41232,1.14873,1.1168,1.00559,0.000181703,0.000181703,0.000181703
29,7685.22,1.36979,1.07687,1.26963,0.73811,0.66122,0.72442,0.41239,1.14822,1.09866,1.00475,0.000126692,0.000126692,0.000126692
30,7939.3,1.34396,1.05107,1.25657,0.74321,0.65963,0.72575,0.41513,1.14582,1.08409,1.0041,7.1681e-05,7.1681e-05,7.1681e-05
